Child ID,Village ID,Serial #1,Serial #2,Date #2,Serial #3,Date #3,Serial #4,Date #4,Serial #5,Date #5,Serial #6,Date #6,Serial #7,Date #7
HNAWRP,118,6116001260,5A29001382,2018-06-23,6111001239,2018-11-13,,,,,,,,
UVRTNA,118,6111000572,6114000085,2018-06-23,6116001526,2018-11-13,,,,,,,,
ZKTUNM,118,6116000815,6116001493,2018-06-23,6116001661,2018-11-13,,,,,,,,
BEBFAT,118,6116001629,5B20002013,2018-06-23,6126000208,2018-11-13,,,,,,,,
TGSPMN,118,5a28000917,6116001373,2018-06-23,6113000632,2018-10-03,6111001013,2018-11-13,6118003055,2018-11-28,,,,
XAYRPX,118,6116002472,6116002497,2018-06-23,5B12002774,2018-11-13,,,,,,,,
PTQUQC,118,6111000646,6115001325,2018-06-23,6118003039,2018-11-13,,,,,,,,
BRWRGS,118,6115000399,6116001542,2018-06-23,6111001852,2018-11-13,,,,,,,,
EXTRA,118,6129001313,6118002290,2018-06-23,6118002850,2018-11-13,,,,,,,,
EXTRA,118,6118003003,6116002152,2018-06-23,6118002559,2018-11-13,,,,,,,,
SPARE,118,6126000252,6115001829,2018-06-23,6118003055,2018-11-13,,,,,,,,
UTURSZ,119,6116000854,6111001632,2018-06-23,6116001115,2018-11-13,,,,,,,,
TUYTAZ,119,6116001896,6111000157,2018-06-23,6116001298,2018-11-13,,,,,,,,
TSHWHZ,119,5A27001547,6118002845,2018-06-23,6116002398,2018-11-13,,,,,,,,
EUSZPK,119,6115001217,6118002106,2018-06-23,6116002864,2018-11-13,,,,,,,,
NNMSKK,119,5A29001477,6118002689,2018-06-23,6118002265,2018-11-13,,,,,,,,
AQBRFB,119,6116001902,5A22001062,2018-06-23,6113001022,2018-11-13,,,,,,,,
PPXBNW,119,5B12003099,5B20001182,2018-06-23,5B12002869,2018-11-13,,,,,,,,
GZXXMW,119,6115001138,5A27000459,2018-06-23,5a27001932,2018-11-13,,,,,,,,
UXRQWR,119,6116001755,6111001097,2018-06-23,6116002611,2018-11-13,,,,,,,,
EPZVUQ,119,6113001425,6116001036,2018-06-23,6112001352,2018-11-13,,,,,,,,
STVEFW,119,6111000747,6116001586,2018-06-23,6118002941,2018-11-13,,,,,,,,
WPRWGS,119,6115001421,6116001560,2018-06-23,5B12004583,2018-11-13,,,,,,,,
EXTRA,119,6116000921,6116002081,2018-06-23,6111002148,2018-11-13,,,,,,,,
EXTRA,119,6115000412,6114000059,2018-06-23,6127001508,2018-11-13,,,,,,,,
EXTRA,119,5A29001350,6116002602,2018-06-23,6116001617,2018-11-13,,,,,,,,
SPARE,119,6129001713,6111000054,2018-06-23,6111002001,2018-11-13,,,,,,,,
TKAVKB,120,6116001153,6115000510,2018-06-04,5B12004794,2018-11-13,,,,,,,,
XEYKNY,120,5A27001918,5A27001196,2018-06-04,6118002953,2018-11-13,,,,,,,,
SNZAXM,120,6111001644,5B20002370,2018-06-04,5A29001391,2018-11-13,,,,,,,,
ATFZHP,120,6116001795,6118001869,2018-06-04,6116001081,2018-11-13,,,,,,,,
ZFGRMV,120,6111000472,6118002189,2018-06-04,6116002666,2018-10-02,6116002515,2018-11-13,,,,,,
