serial_number,closest_match,closest_match_percentage
6116002120,6116002196,0.8
6116002127,6116002196,0.8
6116002128,6116002196,0.8
6116002132,6116002196,0.8
6116002140,6116002546,0.8
6116002151,6116002152,0.9
6116002166,6116002163,0.9
6116002167,6116002163,0.9
6116002176,6116002179,0.9
6116002180,6116002187,0.9
6116002181,6116002187,0.9
6116002194,6116002196,0.9
6116002209,6116002270,0.8
6116002263,6116002270,0.8
6116002265,6116002270,0.8
6116002266,6116002270,0.8
6116002269,6116002270,0.8
6116002271,6116002270,0.9
6116002280,6116002282,0.9
6116002300,6116002304,0.9
6116002333,6118002332,0.8
6116002359,6116002152,0.8
6116002361,6116002363,0.9
6116002390,6116002699,0.8
6116002396,6116002699,0.8
6116002398,6116002699,0.8
6116002401,6116002409,0.9
6116002438,6116002431,0.9
6116002463,6116002469,0.9
6116002472,6116002477,0.9
6116002476,6116002477,0.9
6116002478,6116002477,0.9
6116002481,6116002484,0.9
6116002488,6116002484,0.9
6116002493,6116002497,0.9
6116002558,6116002546,0.8
6116002573,6116002577,0.9
6116002583,6116002586,0.9
6116002666,6116002699,0.8
6116002679,6116002699,0.8
6116002679,6116002699,0.8
6116002725,6116002729,0.9
6116002746,6116002745,0.9
6116002746,6116002745,0.9
6116002758,6116002750,0.9
6116002789,6116002787,0.9
6116002795,6116002790,0.9
6116002818,6116002816,0.9
6116002822,6116002824,0.9
6116002825,6116002824,0.9
6116002845,6116002546,0.8
6116002864,6116002824,0.8
6116002865,6116002824,0.8
6118001515,6118003513,0.8
6118001520,6112001529,0.8
6118001562,6118003565,0.8
6118001632,6111001632,0.8
6118001658,6118001655,0.9
6118001695,6118001662,0.8
6118001710,6118001764,0.8
6118001742,6118001764,0.8
6118001748,6118001764,0.8
6118001780,6118001764,0.8
6118001878,6118001879,0.9
6118001907,6118001962,0.8
6118001932,6118001962,0.8
6118001984,6118002986,0.8
6118002062,6118003060,0.8
6118002073,6118002074,0.9
6118002085,6118002086,0.9
6118002087,6118002086,0.9
6118002103,6118002106,0.9
6118002148,6118002144,0.9
6118002158,6118002950,0.8
6118002176,6118002174,0.9
6118002176,6118002174,0.9
6118002188,6118002187,0.9
6118002199,6116002196,0.8
6118002213,6118002216,0.9
6118002242,6118002249,0.9
6118002244,6118002249,0.9
6118002257,6118002258,0.9
6118002280,6118002285,0.9
6118002296,6118002290,0.9
6118002327,6118002332,0.8
6118002409,6118002408,0.9
6118002472,6118002470,0.9
6118002495,6116002497,0.8
6118002531,6118002332,0.8
6118002535,6118002332,0.8
6118002555,6118002559,0.9
6118002560,6118002566,0.9
6118002572,6118002570,0.9
6118002574,6118002570,0.9
6118002580,6118002285,0.8
6118002614,6118002617,0.9
6118002626,6118002623,0.9
6118002627,6118002623,0.9
6118002673,6118002675,0.9
6118002724,6118002784,0.8
6118002731,6118002735,0.9
6118002738,6118002735,0.9
6118002768,6118001764,0.8
6118002773,6118002376,0.8
6118002776,6118002376,0.8
6118002799,6118002597,0.8
6118002803,6118002806,0.9
6118002805,6118002806,0.9
6118002854,6118002857,0.9
6118002864,6118002866,0.9
6118002873,6118002870,0.9
6118002893,6118002891,0.9
6118002900,6118002950,0.8
6118002912,6118002915,0.9
6118002941,6118002942,0.9
6118002953,6118002950,0.9
6118002980,6118002986,0.9
6118002989,6118002986,0.9
6118003003,6118003109,0.8
6118003124,6118003122,0.9
6118003150,6118003159,0.9
6118003181,6118003180,0.9
6118003193,6118003109,0.8
6118003194,6118003109,0.8
6118003235,6118003232,0.9
6118003314,6118003300,0.8
6118003318,6118003300,0.8
6118003322,6118003300,0.8
6118003334,6118002332,0.8
6118003475,6118003077,0.8
6118003480,6118003419,0.8
6118003507,6118003109,0.8
6118003576,6118003513,0.8
6118003587,6118003513,0.8
6118003618,6118003610,0.9
6118112379,6118002376,0.7
6125001116,6115001195,0.7
6126000113,6112000112,0.7
6126000113,6112000112,0.7
6126000234,6126000735,0.8
6127001229,6116001229,0.7
6127001476,6116001479,0.7
6127001508,6115001506,0.7
6127001519,6116001510,0.7
6127001526,6112001529,0.7
6127001828,6115001829,0.7
6127002893,6118002891,0.7
6128000688,6128000880,0.8
6128000713,6128000754,0.8
6128000757,6128000754,0.9
6128000822,6128000880,0.8
6128000842,6128000880,0.8
6128000937,6128000880,0.7
6128001247,6116001248,0.7
