tablet_serial,storybook_id,start_time,end_time
6116001064,403,953883685,
6116001064,406,953883820,
6116001064,407,953883908,
6116001064,501,953884036,
6116001064,506,953884200,
6116001064,503,953884328,
6116001064,301,953937337,
6116001064,302,953937355,
6116001064,921,953937914,
6116001064,907,953958259,
6116001064,401,953958415,
6116001064,907,953958521,
6116001064,103,953958677,
6116001064,915,954002881,
6116001064,914,954003210,
6116001064,915,954003225,
6116001064,305,954090539,
6116001064,112,954115093,
6116001064,201,954115160,
6116001064,a,954135282,
6116001064,406,954212269,
6116001064,406,954213296,
6116001064,406,954213345,
6116001064,406,954213425,
6116001064,303,954213458,
6116001064,a,954213470,
6116001064,a,954213476,
6116001064,407,954301279,
6116001064,d,954304187,
6116001064,506,954304255,
6116001064,503,954304361,
6116001089,106,946762593,
6116001089,104,946762663,
6116001089,404,946762989,
6116001089,404,946763154,
6116001089,103,946805623,
6116001089,103,946805654,
6116001089,905,946917485,
6116001139,a,946943212,
6116001139,b,946943259,
6116001139,ch,946943316,
6116001139,207,946944582,
6116001139,101,946953096,
6116001139,102,946953139,
6116001139,907,946953172,
6116001139,919,946953190,
6116001139,920,946953408,
6116001139,920,946953566,
6116001139,922,946953652,
6116001139,918,946953782,
6116001139,914,946954087,
6116001139,206,947276802,
6116001139,204,947276884,
6116001139,403,947276922,
6116001139,b,947277297,
6116001139,104,947277324,
6116001139,206,947277393,
6116001139,207,947277469,
6116001139,207,947277521,
6116001139,207,947277531,
6116001139,207,947277558,
6116001139,301,947277647,
6116001139,406,947277689,
6116001139,302,947277792,
6116001139,501,947277866,
6116001139,909,947278062,
6116001139,402,947278266,
6116001139,910,947278277,
6116001139,911,947278533,
6116001139,911,947278621,
6116001139,501,947278644,
6116001139,913,947399851,
6116001139,920,947400368,
6116001139,921,947400605,
6116001139,923,947400864,
6116001139,923,947400948,
6116001139,210,947400965,
6116001139,118,947401043,
6116001139,206,947401100,
6116001139,112,947401106,
6116001139,918,947401179,
6116001139,917,947401190,
6116001139,404,947401238,
6116001154,917,948077564,
6116001154,305,948077620,
6116001154,401,948077710,
6116001154,407,948077796,
6116001154,301,948077912,
6116001154,310,948077959,
6116001154,211,948078050,
6116001154,503,948078127,
6116001154,204,948163219,
6116001154,302,948163328,
6116001154,306,948163384,
6116001154,210,948163461,
6116001154,502,948163530,
6116001154,501,948163725,
6116001154,309,948163977,
6116001154,308,948164053,
6116001154,207,948164158,
6116001154,206,948164220,
6116001154,205,948164312,
6116001154,202,948164357,
6116001154,201,948164396,
6116001154,505,948164464,
6116001154,504,948164585,
6116001154,503,948164713,
6116001154,502,948164731,
6116001154,501,948164907,
6116001154,407,948165043,
6116001154,406,948165191,
6116001154,404,948165294,
6116001154,403,948165369,
6116001154,923,948289256,
6116001154,922,948289300,
6116001154,921,948289339,
6116001154,920,948289383,
6116001154,919,948289427,
6116001154,918,948289458,
6116001154,917,948289492,
6116001154,916,948289523,
6116001154,915,948289560,
6116001154,914,948289610,
6116001154,913,948289650,
6116001154,912,948289703,
6116001154,911,948289732,
6116001154,910,948289773,
6116001154,909,948289815,
6116001154,906,948289856,
6116001154,506,948289900,
6116001154,505,948290135,
6116001154,504,948290293,
6116001154,503,948290439,
6116001154,502,948290609,
6116001154,501,948290800,
6116001154,404,948290972,
6116001202,407,1521439139,
6116001232,911,950683907,
6116001232,923,950684113,
6116001232,922,950684248,
6116001232,921,950684323,
6116001232,920,950684424,
6116001232,401,950684529,
6116001232,401,950684545,
6116001232,401,950684546,
6116001232,401,950684547,
6116001232,113,950684559,
6116001232,401,950684577,
6116001232,301,950723046,
6116001232,103,950770668,
