team,village_id,week_end_date,tablet_serials_count,tablet_serials
KITKIT,81,2018-01-19,8,"['5A22001152', '5A27000864', '5B20001202', '5B20002374', '6116001089', '6116001528', '6118002852', '6118003419']"
KITKIT,82,2018-01-19,11,"['5A27000929', '5A27001208', '5A27001464', '5A28000872', '5A29000626', '6113000610', '6113001089', '6116001861', '6116002232', '6116002241', '6116002623']"
KITKIT,83,2018-01-19,7,"['5A22000440', '5A23002615', '5A27001931', '5A28000137', '6113000712', '6115000383', '6118002829']"
KITKIT,84,2018-01-19,20,"['5A22000662', '5A23002888', '5A27001220', '5A27001603', '5A27001786', '5B20001394', '5B20002364', '6116000839', '6116001077', '6116001582', '6116002044', '6116002515', '6118001520', '6118001939', '6118002255', '6118002285', '6118002318', '6118002699', '6118002921', '6118003268']"
KITKIT,85,2018-01-19,10,"['5A27001817', '5A28001044', '6111002102', '6112000256', '6116001064', '6116001682', '6116001956', '6116002460', '6116002787', '6118003053']"
KITKIT,57,2018-01-26,6,"['5A27001661', '5A27001733', '6111000190', '6116001476', '6116002258', '6116002546']"
KITKIT,58,2018-01-26,19,"['5A22001065', '5A23001547', '5A23002791', '5A27000561', '5A27001891', '5A27001906', '5A27001990', '5A28002483', '5C02001252', '6115000901', '6115002167', '6116000837', '6116001116', '6116001232', '6116001919', '6116002205', '6116002251', '6116002484', '6127002728']"
KITKIT,59,2018-01-26,10,"['5A28000372', '5A28000952', '5A29000774', '5B19001342', '6111001901', '6111002018', '6115000510', '6116001314', '6116002075', '6118001697']"
KITKIT,60,2018-01-26,17,"['5A27001402', '5A27001617', '5A28001138', '5A28002152', '5B04000036', '5B13002489', '5B20001200', '5B20001221', '5B20001276', '5B20002224', '6115000561', '6116001215', '6116001541', '6116001630', '6118001757', '6118002209', '6118002931']"
KITKIT,61,2018-01-26,6,"['5A27001574', '6116000873', '6116002364', '6118002043', '6118002222', '6118003004']"
KITKIT,62,2018-01-26,18,"['5A23001136', '5A23001470', '5A27000923', '5A27001748', '5A27001799', '5B12002896', '5B20002335', '6111000566', '6115001466', '6115002170', '6116001650', '6118001689', '6118002652', '6118002923', '6118003107', '6118003134', '6118003192', '6118003279']"
KITKIT,63,2018-01-26,18,"['5A27001448', '5A27001771', '5A27002149', '5A27002171', '5A28002324', '5B12002740', '5B12002906', '5B20001381', '6116001653', '6116001665', '6116002196', '6118001673', '6118002259', '6118002492', '6118002746', '6118002914', '6118002951', '6118003105']"
