id,title,comprehension_questions,asset_path
2880,drawingmyworld,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-drawingmyworld/
2881,cooktogether,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-cooktogether/
2891,cooktogether,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-cooktogether/
2895,myfriendsandme,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-myfriendsandme/
2907,bedtimestories,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bedtimestories/
2918,theloosetooth,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-theloosetooth/
2929,drawingmyworld,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-drawingmyworld/
2940,myfriendsandme,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-myfriendsandme/
2941,millipedesboots,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-millipedesboots/
2952,millipedesboots,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-millipedesboots/
2955,averyhotday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-averyhotday/
2956,football,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-football/
2967,football,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-football/
2970,keepyourpromise,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-keepyourpromise/
2971,funwithpaint,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-funwithpaint/
2982,funwithpaint,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-funwithpaint/
2985,windkiteme,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-windkiteme/
2986,teeth,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-teeth/
